Id,Label,d0,modularity_class,Weighted Degree
"oregano mexican ","oregano mexican ",ingredient,2,96
"enchilada ","enchilada ",ingredient,2,86
"cajun seasoning ","cajun seasoning ",ingredient,4,183
"grouper ","grouper ",ingredient,4,18
spanish  sage,spanish  sage,ingredient,3,33
"milk fat ","milk fat ",ingredient,4,67
"corn bread ","corn bread ",ingredient,4,24
"creole seasoning ","creole seasoning ",ingredient,4,89
"corn chip ","corn chip ",ingredient,2,24
"epazote ","epazote ",ingredient,2,18
"truffle ","truffle ",ingredient,4,111
"buffalo ","buffalo ",ingredient,3,43
"empanada ","empanada ",ingredient,2,8
"green chili ","green chili ",ingredient,2,16
"tamale ","tamale ",ingredient,2,6
"cornbread ","cornbread ",ingredient,4,48
"relish ","relish ",ingredient,4,90
"pear prickly ","pear prickly ",ingredient,2,8
"stuffing ","stuffing ",ingredient,4,45
"pancetta ","pancetta ",ingredient,3,230
"cherry sweet ","cherry sweet ",ingredient,4,18
"dulce de leche ","dulce de leche ",ingredient,2,13
hibiscu  tea,hibiscu  tea,ingredient,2,6
"orange bitter ","orange bitter ",ingredient,2,11
lean  fish,lean  fish,ingredient,4,9
"lager ","lager ",ingredient,4,36
"meatball ","meatball ",ingredient,3,32
"champagne ","champagne ",ingredient,4,146
hard  wheat,hard  wheat,ingredient,3,18
"pectin ","pectin ",ingredient,4,22
"nectarine ","nectarine ",ingredient,4,35
"conch ","conch ",ingredient,2,11
"pimiento ","pimiento ",ingredient,3,72
"orange sour ","orange sour ",ingredient,2,11
grit  corn,grit  corn,ingredient,4,78
string  bean,string  bean,ingredient,4,53
"treacle ","treacle ",ingredient,4,5
"biscuit ","biscuit ",ingredient,4,46
"cedar ","cedar ",ingredient,4,10
"rockfish ","rockfish ",ingredient,4,9
"kohlrabi ","kohlrabi ",ingredient,0,6
"endive ","endive ",ingredient,4,86
"veal ","veal ",ingredient,3,259
"brandy apple ","brandy apple ",ingredient,4,24
"herbe de provence ","herbe de provence ",ingredient,4,64
"brandy cognac ","brandy cognac ",ingredient,4,33
"bean haricot ","bean haricot ",ingredient,4,35
"goose ","goose ",ingredient,4,17
"sole ","sole ",ingredient,4,35
"sourdough ","sourdough ",ingredient,4,140
"merlot ","merlot ",ingredient,4,23
"armagnac brandy ","armagnac brandy ",ingredient,4,9
"snail ","snail ",ingredient,3,7
"caviar ","caviar ",ingredient,4,57
"malt ","malt ",ingredient,4,9
cognac  brandy,cognac  brandy,ingredient,4,60
"dandelion ","dandelion ",ingredient,4,19
"ale ","ale ",ingredient,4,18
"italian herb seasoning ","italian herb seasoning ",ingredient,3,13
"ladyfinger ","ladyfinger ",ingredient,3,40
"safflower ","safflower ",ingredient,4,44
"spinach fettuccine ","spinach fettuccine ",ingredient,3,6
"chanterelle ","chanterelle ",ingredient,4,73
"boar ","boar ",ingredient,3,5
heated  chocolate,heated  chocolate,ingredient,3,10
"meatloaf ","meatloaf ",ingredient,4,11
"pie ","pie ",ingredient,4,70
"pheasant ","pheasant ",ingredient,4,13
"sorghum ","sorghum ",ingredient,4,7
"cherry sour ","cherry sour ",ingredient,4,33
"madeira ","madeira ",ingredient,4,51
"icing ","icing ",ingredient,4,25
"marzipan ","marzipan ",ingredient,4,17
"herring ","herring ",ingredient,4,10
"savory summer ","savory summer ",ingredient,4,11
"cracker crumb ","cracker crumb ",ingredient,4,15
"poppyseed ","poppyseed ",ingredient,4,5
"fruit juice ","fruit juice ",ingredient,4,17
"rice wild ","rice wild ",ingredient,4,41
frankfurter sausage,frankfurter sausage,ingredient,4,8
"raspberry black ","raspberry black ",ingredient,4,8
"potato fried ","potato fried ",ingredient,4,5
"waffle ","waffle ",ingredient,4,11
fern tree,fern tree,ingredient,4,8
"potato bread ","potato bread ",ingredient,4,5
"gooseberry ","gooseberry ",ingredient,4,6
"stew ","stew ",ingredient,3,7
huckleberry black,huckleberry black,ingredient,4,8
"bean string ","bean string ",ingredient,3,13
"shellfish ","shellfish ",ingredient,3,7
"remoulade ","remoulade ",ingredient,4,18
ranch  dressing,ranch  dressing,ingredient,4,6
